id,name,followers,genres,popularity,related_artists
6XrEYPg6rrQMV4GKabTxbE,breathe.,21355,"['australian alternative pop', 'vapor soul']",41,
1ozB2OoXOFK7HckcoAFDN0,Born Human,760,[],27,
21Nkhbzi9pOpejKpJYU8nW,Madly,922,"['nz pop', 'vapor soul']",28,
1I9HNoVK6kOQGVZfulXVnm,TENDER,129157,"['electropop', 'uk alternative pop', 'vapor soul']",50,
6sBu45R2FfAaIqGu6WFESs,Ørka,2527,['vapor soul'],21,
10wyQuP0JtKu4c1YRkqZnX,Emery Kelly,2132,[],5,
1JHi3wMSHjY01RGrlo7lGh,Omido,8883,[],46,
1c5SlzViAqsaB0kXygfSjh,JAHKOY,75486,"['alternative r&b', 'canadian contemporary r&b', 'canadian hip hop', 'indie r&b', 'pop r&b', 'trap soul']",39,
3bnpcWBcvlfq4hPFJjNPbz,SAFE,139541,"['canadian hip hop', 'indie r&b', 'trap soul']",52,
3fcW2V4zOfFm0IsWCJUuzz,Zilo,25962,"['alternative r&b', 'bass trap', 'chill r&b', 'indie r&b']",39,
0iiDqBBNToKJG4YoyESrBf,Always Never,84576,"['canadian contemporary r&b', 'trap soul']",50,
0JFKmdLuTj0yZi9P05a85X,Teflon Sega,49246,['trap soul'],47,
4fLF7NyMYLaMxUmZCSp5ex,Johnny Yukon,39770,['trap soul'],41,
1mGW7MpR3kesskLHY3Q5WX,Jordan Hollywood,29282,['trap soul'],32,
7mDU6nMUJnOSY2Hkjz5oqM,Roy Woods,867765,"['canadian contemporary r&b', 'canadian hip hop', 'pop rap', 'r&b', 'trap', 'trap soul']",61,
0pkwrPVI8UyXtPkavyJoZ4,A.CHAL,157914,['trap soul'],50,
5exS0bytCYdixgv02DaCm3,William Singe,607053,"['chill r&b', 'pop', 'pop r&b', 'r&b', 'urban contemporary']",61,
0pghUohLPptZWBasy2wmUx,THEY.,288625,"['alternative r&b', 'trap soul', 'underground hip hop']",55,
6u3PN3PCsWLGsw1OffKQ2F,Lou Val,34639,"['alternative r&b', 'canadian contemporary r&b', 'indie r&b', 'trap soul']",43,
3fHjwMnkM9ov8CozqkYxWY,Ramriddlz,101861,"['canadian contemporary r&b', 'canadian hip hop', 'rap calme', 'trap soul']",42,
5aMIbwZQvP2MHPMVC5zCGj,ODIE,224526,"['alternative r&b', 'canadian contemporary r&b']",61,
12trz2INGglrKMzLmg0y2C,Emotional Oranges,228423,['alternative r&b'],55,
0nnBZ8FXWjG9wZgM2cpfeb,Leon Thomas,33193,['alternative r&b'],42,
1CgbNAF3Stnz1Tpipu3xdO,Elujay,67842,"['alternative r&b', 'cali rap', 'chill r&b', 'indie hip hop', 'indie r&b', 'indie soul', 'underground hip hop']",47,
3wVXTWabe3viT0jF7DfjOL,Vedo,329472,"['pop r&b', 'pop rap', 'r&b']",61,
44FcajG2fONeWG1KEy0DBt,Ginette Claudette,33969,"['alternative r&b', 'chill r&b', 'indie r&b', 'pop r&b']",30,
5uTsMjH1CdE81ncmOnE4WY,Haley Smalls,28808,['pop r&b'],32,
5BO8aIDUyNtvnq98qMIs85,Mack Wilds,48676,['alternative r&b'],29,
3QU8iTZ62Ah5tY3p59WMAR,Ré Lxuise,9594,['alternative r&b'],17,
7r2oyrNc0YjSC7hZL87V0Y,Ro James,251558,"['alternative r&b', 'pop r&b', 'r&b']",45,
0hhGFNFQrdE34ZYR1CaBYN,JVCK JAMES,32162,"['alternative r&b', 'chill r&b', 'indie r&b', 'pop r&b', 'trap soul', 'uk contemporary r&b']",48,
4WcJL1x8azi1Qkv4jc6fhH,Devvon Terrell,147027,['pop r&b'],46,
